,timestamp,altitude,longitude,latitude,speed,accuracy
6,1557795044356,134.0,127.34790929999998,36.35964310000001,0.79999995,92.0
7,1557795066000,72.0999984741,127.34778940000001,36.359024299999994,2.86,18.77
8,1557795067000,73.0,127.34764340000001,36.3588791,2.96,11.742
38,1557795099000,74.0,127.3454976,36.3590686,3.08,4.853
39,1557795102000,76.0,127.345428,36.359081200000006,1.26,4.388
40,1557795105000,76.0,127.3453723,36.35907279999999,2.75,4.4910000000000005
46,1557795116000,82.0,127.34492390000001,36.35907329999999,3.9099998,6.603
55,1557795127000,80.0,127.3442543,36.3592092,3.54,6.307
57,1557795131000,79.0,127.34404199999999,36.3592457,3.05,5.917000000000001
58,1557795133000,80.0,127.3439741,36.3592439,2.8,5.292999999999999
59,1557795136000,80.0,127.34390570000001,36.3592314,1.03,5.199
60,1557795139000,80.0,127.34386040000001,36.359197200000004,1.9,5.979
61,1557795142000,80.0,127.3438182,36.359159999999996,0.84999996,6.308
62,1557795146000,80.0,127.34378490000002,36.3591148,0.62,6.32
63,1557795151000,81.0,127.34376850000001,36.359066,1.37,6.468999999999999
64,1557795155000,80.0,127.3437564,36.359020799999996,0.65999997,6.414
65,1557795161000,80.0,127.3437081,36.35899379999999,0.41,6.441
66,1557795175000,82.0,127.3436719,36.358951,1.1,4.989
67,1557795178000,83.0,127.34365079999999,36.35890070000001,1.02,4.462
68,1557795181000,84.0,127.34362560000001,36.3588446,1.17,4.22
69,1557795183000,84.0,127.3436077,36.3587999,0.98999995,3.986
70,1557795186000,86.0,127.3435912,36.3587435,0.82,3.865
71,1557795190000,88.0,127.34357849999999,36.3586836,0.91999996,3.907
72,1557795194000,88.0,127.34356840000001,36.358633399999995,1.43,3.3289999999999997
73,1557795198000,89.0,127.3435511,36.358574600000004,1.26,3.0
74,1557795202000,91.0,127.3435365,36.3585219,1.3299999,3.0
75,1557795205000,91.0,127.3435219,36.3584765,1.31,3.0
76,1557795209000,91.0,127.3435101,36.358425399999994,1.3299999,3.0
77,1557795213000,90.0,127.34349420000001,36.3583765,1.4399998999999999,3.0
78,1557795217000,89.0,127.34347079999999,36.358323299999995,1.09,3.0
79,1557795221000,87.0,127.34343600000001,36.358280900000004,1.0699999,3.0
134,1557796036000,102.0,127.34270330000001,36.3774086,2.55,5.468999999999999
206,1557796111000,87.0,127.34732620000001,36.3842645,1.66,4.641
232,1557796150000,85.0,127.35028559999999,36.3846785,0.06,6.051
266,1557796192000,81.0,127.3535804,36.38523920000001,3.82,4.637
267,1557796194000,81.0,127.35363980000001,36.3852504,2.83,4.234
268,1557796197000,81.0,127.3537082,36.3852607,1.7099999,4.141
270,1557796212000,82.0,127.35383059999998,36.3852692,3.82,5.7
308,1557796261000,75.0,127.35850759999998,36.3851669,2.78,4.407
309,1557796263000,75.0,127.3585712,36.385159200000004,3.9599998,5.124
352,1557796309000,87.0,127.3630607,36.384499299999995,0.71,3.8160000000000003
353,1557796366000,88.0,127.36312859999998,36.384489,3.46,4.196000000000001
414,1557796429000,97.0,127.3625211,36.390180799999996,1.9699999,8.802999999999999
415,1557796462000,99.0,127.36249340000002,36.3902215,2.18,4.828
416,1557796465000,99.0,127.3624759,36.39027539999999,3.23,4.399
639,1557796708000,84.0,127.37195940000001,36.4064398,0.14999999,5.393
640,1557796716000,86.0,127.37201780000001,36.4064325,1.52,4.01
641,1557796720000,85.0,127.3720864,36.4064507,1.5,3.638
642,1557796724000,85.0,127.3721489,36.4064604,2.1399999,4.402
