,timestamp,altitude,longitude,latitude,speed,accuracy
5,1557710679234,202.0,127.3475128,36.3586594,1.3,23.0
6,1557710681246,72.1999969482,127.34757590000001,36.3587906,0.39,18.645
7,1557710683248,72.1999969482,127.34759469999999,36.3588448,0.22,16.527
9,1557710688297,72.0999984741,127.3475771,36.35886,0.06,8.336
10,1557710690000,72.0999984741,127.3475441,36.3588167,0.71,9.579
11,1557710706000,72.0999984741,127.34755759999999,36.3588621,0.21,10.312000000000001
12,1557710711000,72.0999984741,127.3475746,36.3588146,1.05,10.798
13,1557710715000,97.0,127.3476091,36.3588528,0.19999999,8.685
75,1557710869000,72.0,127.3581572,36.359582,3.1,6.962000000000001
76,1557710873000,74.0,127.3581706,36.3596309,0.7,5.129
107,1557710907000,70.0,127.35780279999999,36.3618887,2.79,9.629
108,1557710917000,72.0,127.35782240000002,36.3619376,3.4199998,6.727
109,1557710923000,73.0,127.3578153,36.36198710000001,3.37,6.537999999999999
126,1557710942000,76.0,127.3594581,36.3629996,2.31,8.246
185,1557711023000,68.0,127.3628528,36.367102,2.4299998,5.401
260,1557711114000,76.0,127.3595514,36.3716706,3.9299998,3.9539999999999997
263,1557711119000,78.0,127.3595152,36.3718556,3.33,3.698
264,1557711123000,79.0,127.35949369999999,36.3719046,0.31,3.707
270,1557714763354,87.0,127.35969709999999,36.371880299999994,0.82,24.0
271,1557714765000,75.0,127.35954240000001,36.3718997,1.16,17.5
272,1557714771000,76.0,127.35953310000001,36.371962599999996,2.11,7.579
273,1557714774000,72.0,127.35952549999999,36.37201760000001,2.11,6.848
274,1557714776000,71.0,127.3595205,36.3720627,2.5,6.654
275,1557714778000,73.0,127.35952079999998,36.3721179,1.8199999,6.444
276,1557714781000,73.0,127.35951440000001,36.3721878,2.47,6.5089999999999995
277,1557714783000,73.0,127.3595107,36.3722425,2.58,6.527
278,1557714785000,75.0,127.35951840000001,36.372300700000004,3.22,6.553999999999999
279,1557714787000,76.0,127.35953640000001,36.372359499999995,2.84,6.531000000000001
280,1557714789000,76.0,127.35955770000001,36.372428899999996,2.8799999,6.507999999999999
281,1557714791000,77.0,127.35957920000001,36.372491700000005,2.3899999,5.711
282,1557714793000,77.0,127.35960390000001,36.3725473,2.31,4.988
283,1557714795000,77.0,127.35963100000001,36.372601200000005,2.21,6.066
284,1557714798000,78.0,127.35965159999998,36.3726516,2.34,4.7780000000000005
285,1557714801000,78.0,127.35965049999999,36.37271679999999,2.6,4.771
286,1557714803000,78.0,127.35964879999999,36.372777,2.72,4.614
287,1557714805000,79.0,127.35964479999998,36.37283060000001,2.8999999,4.65
