,timestamp,altitude,longitude,latitude,speed,accuracy
9,1557631929418,80.8000030518,127.34773259999999,36.359151399999995,1.8299999,12.569
10,1557631938000,80.8000030518,127.3476673,36.3591746,1.9399998999999999,13.755
11,1557631941000,75.0,127.3476051,36.3592011,3.1999998,13.729000000000001
12,1557631942000,74.0,127.3475366,36.359218,3.8999998999999996,13.39
13,1557631943000,72.0,127.3474759,36.3592371,2.96,13.056
14,1557631945000,70.0,127.34736969999999,36.3592718,3.6,11.68
15,1557631947000,63.0,127.34727649999999,36.3593068,3.81,10.922
16,1557631948000,59.0,127.3472085,36.3593223,3.9499998,10.205
17,1557631949000,57.0,127.347141,36.3593279,3.47,10.683
24,1557631960000,62.0,127.3463426,36.35938170000001,3.73,5.369
25,1557631963000,64.0,127.34627490000001,36.3593908,1.66,4.9
26,1557631966000,65.0,127.34619340000002,36.3593936,3.24,5.827999999999999
28,1557631969000,65.0,127.3460328,36.359410600000004,3.79,6.475
49,1557631992000,67.0,127.3445142,36.35957979999999,3.02,10.487
54,1557632000000,68.0,127.34406979999999,36.359550399999996,3.82,8.74
84,1557632035000,72.0,127.3445686,36.3613059,1.3299999,6.013
86,1557632042000,74.0,127.3445942,36.361476399999994,3.4199998,6.8229999999999995
87,1557632044000,74.0,127.3446048,36.361526399999995,2.81,6.667000000000001
88,1557632046000,74.0,127.34462830000001,36.361583,2.8,6.034
89,1557632048000,73.0,127.3446632,36.3616264,2.37,6.0089999999999995
90,1557632050000,73.0,127.3447119,36.361672,2.54,5.989
91,1557632052000,72.0,127.34476529999999,36.361720700000006,3.1999998,5.837999999999999
92,1557632054000,72.0,127.3447993,36.3617711,2.54,5.822
93,1557632056000,72.0,127.3448168,36.3618161,0.96,5.031000000000001
94,1557632084000,72.0,127.34483090000002,36.3618645,0.14999999,3.713
95,1557632096000,70.0,127.3448482,36.3619195,2.2,4.7989999999999995
96,1557632099000,70.0,127.34488870000001,36.3619571,1.61,4.828
97,1557632102000,70.0,127.3449275,36.3619948,1.78,4.898
98,1557632105000,70.0,127.34496840000001,36.3620368,1.87,4.9830000000000005
99,1557632108000,70.0,127.34501110000001,36.362080799999994,1.51,5.086
100,1557632112000,70.0,127.3450416,36.3621205,0.04,5.064
101,1557632127000,71.0,127.3450287,36.362185600000004,3.9199998,5.195
354,1557632391000,87.0,127.3419261,36.374805200000004,3.81,5.176
356,1557632395000,87.0,127.34195600000001,36.374950399999996,3.7099998,5.372999999999999
385,1557632434000,95.0,127.34245929999999,36.3766914,3.9099998,4.6
387,1557632437000,95.0,127.3424994,36.3767888,3.4399998,4.235
388,1557632439000,96.0,127.3425152,36.376833399999995,3.54,4.526
389,1557632441000,96.0,127.34253170000001,36.3768927,3.6799998,5.391
396,1557632455000,97.0,127.3426665,36.3773951,3.54,5.09
397,1557632457000,97.0,127.3426851,36.3774424,2.78,5.345
398,1557632459000,97.0,127.34269270000001,36.377501,3.33,5.571000000000001
401,1557632464000,98.0,127.34274180000001,36.3777073,3.9099998,5.34
413,1557632487000,100.0,127.34295959999999,36.378623100000006,3.6499998999999996,4.595
497,1557632575000,91.0,127.345752,36.383923100000004,2.37,4.999
498,1557632578000,91.0,127.3457545,36.3839821,2.58,5.343
499,1557632582000,90.0,127.34572779999999,36.3840255,0.19,4.572
565,1557632735000,82.0,127.3471256,36.388338399999995,3.99,5.42
570,1557632744000,84.0,127.3473708,36.3886043,3.8899998999999994,6.185
615,1557632793000,89.0,127.34958950000001,36.3905855,2.26,7.406000000000001
616,1557632795000,88.0,127.34960929999998,36.39063839999999,3.12,6.987
617,1557632797000,89.0,127.3496395,36.3906968,2.9299998,6.763
646,1557632834000,83.0,127.3511239,36.3922042,3.1599998,5.692
647,1557632837000,83.0,127.35118359999998,36.3921895,2.52,5.982
648,1557632840000,83.0,127.35122199999999,36.392139799999995,2.07,6.5120000000000005
649,1557632843000,83.0,127.351254,36.3920922,1.91,6.86
650,1557632846000,84.0,127.35129850000001,36.3920369,2.44,7.292000000000001
651,1557632848000,84.0,127.35131489999999,36.391990899999996,1.24,7.117000000000001
653,1557632869000,85.0,127.35132800000001,36.391898100000006,0.04,7.101
655,1557632907000,100.0,127.35140439999999,36.3918829,0.51,22.384
656,1557632919000,108.0,127.3514492,36.3919155,0.52,28.051
657,1557632927000,109.0,127.35142450000001,36.3919594,0.25,30.081999999999997
658,1557632960168,109.0,127.35142450000001,36.3919594,0.25,30.081999999999997
663,1557634193000,208.0,127.35207700000001,36.391401,0.42999998,53.0
904,1557634581000,75.0,127.3567997,36.379990899999996,3.9299998,5.814
906,1557634585000,75.0,127.35685090000001,36.379858899999995,3.6799998,5.897
908,1557634589000,75.0,127.3569348,36.3797438,3.9099998,6.063
911,1557634594000,74.0,127.3570864,36.379549499999996,3.83,5.619
912,1557634596000,74.0,127.35712009999999,36.3795004,3.4299998,5.111000000000001
913,1557634598000,74.0,127.35716219999999,36.3794562,3.3999998999999996,5.515
914,1557634600000,74.0,127.35720719999999,36.379403499999995,3.3899998999999994,5.329
915,1557634602000,74.0,127.3572479,36.3793568,2.53,5.331
916,1557634604000,74.0,127.35729369999999,36.3793081,3.29,5.534
917,1557634606000,74.0,127.35734040000001,36.379263,3.1299999,5.437
918,1557634608000,74.0,127.35738359999999,36.379219,2.9399998,5.567
919,1557634610000,74.0,127.35743059999999,36.3791758,2.97,5.482
920,1557634612000,74.0,127.35747579999999,36.3791373,2.69,5.843
921,1557634614000,73.0,127.35751909999999,36.3790952,2.77,5.9239999999999995
922,1557634616000,73.0,127.3575624,36.379061,2.1399999,5.757000000000001
923,1557634619000,73.0,127.3576176,36.3790275,1.74,5.667999999999999
924,1557634623000,74.0,127.3576695,36.3789966,0.26,5.358
925,1557634648000,72.0,127.35769170000002,36.378955100000006,0.81,3.295
926,1557634698638,66.0,127.35765970000001,36.3789131,1.91,19.0
927,1557634701000,44.0,127.3576112,36.3788805,2.8799999,14.46
928,1557634704000,49.0,127.3575528,36.3788826,3.35,12.995
929,1557634706000,53.0,127.35747350000001,36.37888220000001,3.34,11.59
930,1557634708000,53.0,127.3573845,36.378881899999996,2.9299998,10.374
931,1557634710000,55.0,127.35730659999999,36.3788677,3.8899998999999994,9.977
1048,1557634843000,84.0,127.3564497,36.372482299999994,1.3299999,5.303999999999999
1049,1557634849000,84.0,127.3564746,36.3724385,1.9599999,5.912999999999999
1050,1557634853000,84.0,127.3565442,36.3723955,3.4099998,7.167999999999999
