,timestamp,altitude,longitude,latitude,speed,accuracy
430,1557282751000,173.0,127.36029350000001,36.373068200000006,3.1899998,23.165
432,1557282771571,190.0,127.3603422,36.3732129,2.9199998,29.506999999999998
437,1557283766000,85.5,127.3598975,36.37317410000001,2.81,16.879
438,1557283768000,85.5,127.3598662,36.373211600000005,2.57,18.029
439,1557283771000,85.5,127.3598381,36.3732581,2.1299999,18.836
440,1557283774054,85.5,127.35987,36.373168,2.2,15.312999999999999
441,1557283776000,85.5,127.3598867,36.3731228,3.4099998,13.98
444,1557283797000,-23.0,127.36031059999999,36.372815,0.77,12.535
445,1557283801000,-11.0,127.3602773,36.372769299999995,1.05,9.515
446,1557283804000,-1.0,127.3601946,36.3727555,1.1,8.478
448,1557283810000,17.0,127.36008100000001,36.372766299999995,1.06,7.086
449,1557283813000,23.0,127.36002659999998,36.3727836,1.39,6.584
451,1557283822000,32.0,127.35990179999999,36.372772600000005,0.78,6.2989999999999995
452,1557283825000,37.0,127.3598577,36.372738,1.0,5.915
454,1557283831000,47.0,127.3597413,36.3726785,1.11,4.676
455,1557283834000,50.0,127.3596887,36.372651700000006,0.68,4.156000000000001
457,1557283842000,56.0,127.35961429999999,36.37257520000001,1.56,4.484
458,1557283846000,58.0,127.35960530000001,36.3725289,0.97999996,4.21
459,1557283850000,59.0,127.3595886,36.3724813,1.25,4.218
460,1557283854000,61.0,127.3595727,36.372429700000005,1.28,4.1419999999999995
461,1557283858000,61.0,127.35956440000001,36.3723805,1.41,4.382
462,1557283863000,63.0,127.3595595,36.3723302,1.11,4.2219999999999995
465,1557283878000,68.0,127.3595567,36.3721881,0.84999996,4.341
466,1557283883000,71.0,127.3595556,36.3721401,1.3,4.5169999999999995
467,1557283888000,72.0,127.35955020000002,36.3720844,1.36,4.55
479,1557278312000,180.0,127.3479843,36.3596926,1.9,89.0
480,1557278313000,188.0,127.34798130000001,36.3597806,1.78,66.27199999999999
481,1557278315216,0.0,127.3478841,36.359375899999996,3.3899998999999994,25.85
482,1557278317000,0.0,127.3478513,36.3592399,1.4699999,22.643
483,1557278320000,0.0,127.3478382,36.3591869,2.87,21.072
484,1557278325297,138.0,127.34782150000001,36.3592955,3.6899998,17.148
485,1557278327000,125.0,127.3477997,36.359418,2.9199998,18.198
486,1557278328000,121.0,127.3477865,36.3594802,3.21,17.33
487,1557278329000,119.0,127.34778329999999,36.3595258,3.1299999,16.824
488,1557278331000,117.0,127.34779170000002,36.359573499999996,2.3,15.047
489,1557278334000,119.0,127.3478462,36.3595864,3.22,14.458
490,1557278335366,114.0,127.34790009999999,36.3595679,3.25,13.799000000000001
491,1557278337000,112.0,127.34795940000001,36.359547,3.31,12.922
515,1557278364000,94.0,127.3497163,36.35924910000001,2.6399999,9.732999999999999
516,1557278367000,94.0,127.3497821,36.3592414,2.4199998,9.021
517,1557278369000,94.0,127.34983740000001,36.3592304,3.36,8.897
680,1557278542000,62.0,127.36167409999999,36.3641316,3.27,3.551
682,1557278610000,62.0,127.36176880000001,36.3641835,1.5699999,4.302
683,1557278613000,62.0,127.36182040000001,36.364204,2.3999999,4.828
684,1557278615000,62.0,127.36186880000001,36.364227299999996,3.02,5.12
685,1557278617000,62.0,127.3619297,36.3642573,3.1399999,5.457999999999999
686,1557278619000,62.0,127.36199669999999,36.3642918,3.56,5.322
687,1557278621000,62.0,127.3620665,36.3643283,3.6599998,5.574
688,1557278623000,62.0,127.3621345,36.364365,3.9599998,5.211
689,1557278625000,62.0,127.3622134,36.364403100000004,3.6899998,5.505
709,1557278662000,61.0,127.363918,36.3651628,3.9499998,3.8360000000000003
710,1557278664000,61.0,127.36399070000002,36.365185499999995,3.84,3.7289999999999996
716,1557278675000,61.0,127.3644793,36.3653442,3.9399998,3.7910000000000004
717,1557278677000,61.0,127.3645367,36.365375,3.9399998,3.3539999999999996
718,1557278679000,61.0,127.3645678,36.3654125,3.98,4.033
719,1557278683000,62.0,127.3644971,36.365435299999994,3.53,5.115
720,1557278685000,62.0,127.3644308,36.3654156,3.34,4.756
721,1557278687000,62.0,127.36435630000001,36.3653963,3.6599998,4.649
722,1557278689000,62.0,127.364278,36.3653773,3.72,4.5360000000000005
723,1557278691000,63.0,127.3641942,36.3653592,3.9399998,4.274
727,1557278696000,63.0,127.3639131,36.3654126,3.6799998,3.772
728,1557278698000,63.0,127.3638683,36.3654461,3.6699998,3.736
730,1557278701000,63.0,127.36375009999999,36.3655179,3.9299998,4.371
732,1557278704000,62.0,127.3636777,36.365602,3.6899998,4.296
733,1557278706000,62.0,127.36369209999998,36.365652399999995,3.07,3.9739999999999998
734,1557278709000,63.0,127.3636895,36.36571729999999,3.3799998999999996,4.69
735,1557278711000,63.0,127.36366070000001,36.3657761,3.29,5.13
736,1557278713000,63.0,127.3636247,36.3658275,3.1299999,5.3
737,1557278715000,63.0,127.3635865,36.3658789,3.07,4.691
738,1557278717000,63.0,127.36354890000001,36.3659205,3.75,4.801
739,1557278719000,63.0,127.36349409999998,36.365973499999996,3.58,4.5969999999999995
740,1557278721000,63.0,127.3634412,36.366026399999996,3.77,4.518
741,1557278723000,63.0,127.36339129999999,36.366078200000004,3.7099998,4.428
855,1557278860000,70.0,127.359508,36.3718624,3.0,3.94
856,1557278862000,70.0,127.35950020000001,36.371918,2.82,3.9539999999999997
857,1557278864000,70.0,127.35949209999998,36.371965700000004,3.26,4.132
858,1557278867000,71.0,127.3594642,36.372007200000006,1.2099999,4.4719999999999995
860,1557278882000,73.0,127.35941580000001,36.3719789,1.5799999,5.2379999999999995
861,1557278887000,73.0,127.3594366,36.371933,0.39,6.556
873,1557282540977,85.0,127.3595672,36.372079299999996,1.3299999,21.0
874,1557282542000,87.0,127.3595124,36.3720051,0.96999997,8.182
875,1557282553000,76.0,127.3595213,36.372058700000004,1.05,5.796
876,1557282558000,75.0,127.3595244,36.3721069,1.1,6.422999999999999
877,1557282563000,74.0,127.359523,36.372155,0.71,4.7589999999999995
878,1557282569000,74.0,127.35950929999998,36.3722083,1.51,4.331
879,1557282574000,73.0,127.3595145,36.3722625,0.96999997,4.376
880,1557282579000,74.0,127.35951609999998,36.3723145,0.89,4.183
881,1557282584000,75.0,127.35952160000001,36.3723598,0.83,4.69
882,1557282591000,77.0,127.3595223,36.3724138,0.89,4.819
883,1557282596000,77.0,127.35953319999999,36.3724676,0.89,4.784
884,1557282601000,78.0,127.35953359999999,36.3725217,0.72999996,5.229
885,1557282606000,79.0,127.35953149999999,36.372572399999996,1.1999999,5.409
886,1557282610000,79.0,127.359536,36.3726184,1.48,5.31
887,1557282614000,81.0,127.3595486,36.3726724,1.17,5.053999999999999
888,1557282618000,83.0,127.3595547,36.37272120000001,1.05,5.835
889,1557282622000,82.0,127.3595533,36.3727719,0.98999995,5.435
890,1557282626000,84.0,127.3595429,36.3728232,0.77,4.979
891,1557282631000,84.0,127.35952490000001,36.372871999999994,0.76,5.082
892,1557282635000,82.0,127.35954579999999,36.37291389999999,0.9,4.516
893,1557282640000,83.0,127.3595878,36.372953,0.45999998,4.833
894,1557282645000,85.0,127.359633,36.3729814,0.87,4.979
895,1557282649000,86.0,127.35968629999999,36.37300020000001,0.97999996,4.9030000000000005
902,1557282737000,85.0,127.36032050000001,36.3730152,2.03,22.894000000000002
903,1557282751000,173.0,127.36029350000001,36.373068200000006,3.1899998,23.165
905,1557282771571,190.0,127.3603422,36.3732129,2.9199998,29.506999999999998
910,1557283766000,85.5,127.3598975,36.37317410000001,2.81,16.879
911,1557283768000,85.5,127.3598662,36.373211600000005,2.57,18.029
912,1557283771000,85.5,127.3598381,36.3732581,2.1299999,18.836
913,1557283774054,85.5,127.35987,36.373168,2.2,15.312999999999999
914,1557283776000,85.5,127.3598867,36.3731228,3.4099998,13.98
917,1557283797000,-23.0,127.36031059999999,36.372815,0.77,12.535
918,1557283801000,-11.0,127.3602773,36.372769299999995,1.05,9.515
919,1557283804000,-1.0,127.3601946,36.3727555,1.1,8.478
921,1557283810000,17.0,127.36008100000001,36.372766299999995,1.06,7.086
922,1557283813000,23.0,127.36002659999998,36.3727836,1.39,6.584
924,1557283822000,32.0,127.35990179999999,36.372772600000005,0.78,6.2989999999999995
925,1557283825000,37.0,127.3598577,36.372738,1.0,5.915
927,1557283831000,47.0,127.3597413,36.3726785,1.11,4.676
928,1557283834000,50.0,127.3596887,36.372651700000006,0.68,4.156000000000001
930,1557283842000,56.0,127.35961429999999,36.37257520000001,1.56,4.484
931,1557283846000,58.0,127.35960530000001,36.3725289,0.97999996,4.21
932,1557283850000,59.0,127.3595886,36.3724813,1.25,4.218
933,1557283854000,61.0,127.3595727,36.372429700000005,1.28,4.1419999999999995
934,1557283858000,61.0,127.35956440000001,36.3723805,1.41,4.382
935,1557283863000,63.0,127.3595595,36.3723302,1.11,4.2219999999999995
938,1557283878000,68.0,127.3595567,36.3721881,0.84999996,4.341
939,1557283883000,71.0,127.3595556,36.3721401,1.3,4.5169999999999995
940,1557283888000,72.0,127.35955020000002,36.3720844,1.36,4.55
953,1557310770000,83.0,127.3594845,36.372004100000005,1.29,8.751
954,1557310773000,81.0,127.35950159999999,36.372048,1.26,6.943
955,1557310777000,78.0,127.35950840000001,36.3720961,0.94,6.492000000000001
956,1557310781000,78.0,127.3595111,36.3721473,1.3299999,6.385
957,1557310784000,79.0,127.3595055,36.372197,2.1299999,5.54
958,1557310787000,79.0,127.35950559999999,36.3722456,1.15,5.551
959,1557310790000,78.0,127.3595081,36.3723012,1.0699999,5.096
960,1557310794000,78.0,127.35950530000001,36.3723519,1.31,5.242999999999999
961,1557310798000,77.0,127.35949860000001,36.3724073,1.01,5.34
962,1557310801000,77.0,127.35950079999999,36.3724528,1.39,5.245
963,1557310805000,78.0,127.3595114,36.372502399999995,1.28,5.254
964,1557310809000,78.0,127.3595111,36.372558399999996,1.38,5.157
965,1557310812000,77.0,127.3595072,36.3726037,1.37,5.216
966,1557310815000,77.0,127.35950590000002,36.372649100000004,1.5,5.399
967,1557310818000,78.0,127.35950179999999,36.3726961,1.4499999,5.707000000000001
968,1557310821000,78.0,127.3595032,36.3727424,1.16,5.604
969,1557310824000,77.0,127.35951100000001,36.3727876,1.11,5.6339999999999995
970,1557310827000,78.0,127.3595,36.37283370000001,1.11,5.039
971,1557310831000,79.0,127.3594807,36.3728867,1.64,5.246
972,1557310834000,79.0,127.35947649999999,36.3729374,1.88,5.462000000000001
973,1557310837000,80.0,127.35950249999999,36.372988,1.16,5.6579999999999995
974,1557310840000,80.0,127.35954640000001,36.373025899999995,1.39,5.4879999999999995
975,1557310845000,83.0,127.359575,36.3730697,1.75,5.445
976,1557310849000,85.0,127.3595622,36.3731338,1.61,5.104
977,1557310853000,85.0,127.3595533,36.3731937,1.37,5.36
978,1557310857000,86.0,127.3595348,36.373252,1.5699999,5.377000000000001
980,1557310865000,87.0,127.359496,36.373349100000006,0.79999995,5.55
981,1557310869000,85.0,127.3594524,36.3733939,1.92,5.5
982,1557310872000,84.0,127.35938759999999,36.373412200000004,1.6999999,5.449
983,1557310875000,83.0,127.3593191,36.373419399999996,1.89,5.415
984,1557310878000,85.0,127.35926070000001,36.373433399999996,0.37,5.619
985,1557310884000,86.0,127.35921470000001,36.3734695,0.38,6.157
987,1557310902936,88.0999984741,127.359156,36.3735777,1.1899998999999999,9.56
990,1557310936807,63.0,127.3592173,36.373495399999996,0.31,24.0
991,1557310941362,74.0,127.3592748,36.3734964,1.18,11.102
992,1557310948000,75.0,127.35933190000002,36.3734876,0.96999997,9.377
993,1557310953000,69.0,127.3593933,36.3734876,0.69,6.315
994,1557310958000,72.0,127.3594541,36.373489899999996,1.4499999,6.638
995,1557310961000,73.0,127.3595278,36.3734968,1.28,6.84
996,1557310963000,73.0,127.35958600000001,36.37349879999999,1.56,6.721
997,1557310966000,72.0,127.359652,36.3734984,1.91,6.675
998,1557310969000,74.0,127.3597257,36.3735018,1.35,6.2139999999999995
999,1557310972000,75.0,127.35978999999999,36.3734973,1.3199999,5.709
1000,1557310976000,76.0,127.3598396,36.373464899999995,1.37,6.183
1001,1557310981000,76.0,127.35985349999999,36.3734148,1.5899999,7.077999999999999
1002,1557310990000,76.0,127.35988619999999,36.3733779,0.21,12.975999999999999
1004,1557311018000,85.6999969482,127.35999679999999,36.3731627,1.8199999,11.558
1005,1557311021805,85.9000015259,127.3600138,36.3731186,1.66,11.015999999999998
1009,1557311521340,85.9000015259,127.36005490000001,36.3730756,1.27,10.686
1012,1557312270000,137.0,127.36014499999999,36.37318629999999,3.03,76.638
1013,1557312271000,127.0,127.3600716,36.3733152,3.6899998,65.737
1014,1557312272000,121.0,127.36001189999999,36.3733821,3.7099998,55.265
1016,1557312274000,99.0,127.35992579999998,36.373123,2.51,44.095
1017,1557312275000,95.0,127.35990759999999,36.3730685,1.25,33.282
1018,1557312282000,48.0,127.3598611,36.3730071,1.7099999,33.951
1019,1557312284000,38.0,127.359835,36.3729599,1.61,28.81
