,timestamp,altitude,longitude,latitude,speed,accuracy
7,1557364578000,93.0,127.34786170000001,36.35924910000001,0.69,30.42
8,1557364581000,109.0,127.3478247,36.359341799999996,0.58,37.974000000000004
9,1557364582000,112.0,127.34779879999999,36.3594009,1.3199999,38.379
10,1557364583000,113.0,127.3477717,36.359446399999996,2.06,37.604
11,1557364584551,72.0,127.3477307,36.359299799999995,2.06,28.788
12,1557364588000,72.0,127.3477139,36.3592336,1.48,29.025
13,1557364589000,72.0,127.3477024,36.35918710000001,1.7099999,29.085
14,1557364591000,72.0,127.3476836,36.3591049,2.78,32.63
15,1557364596000,99.0,127.34769240000001,36.359150299999996,1.05,27.278000000000002
16,1557364597000,103.0,127.3477044,36.359204299999995,1.68,29.708000000000002
17,1557364598000,106.0,127.3477156,36.3592516,1.02,31.987
18,1557364599000,110.0,127.34773159999999,36.3593071,1.16,32.486
19,1557364603000,72.0999984741,127.3477134,36.3592596,0.93,29.588
21,1557364619000,0.0,127.34782759999999,36.359128399999996,0.88,12.321
22,1557364620000,0.0,127.34783490000001,36.359177200000005,1.24,14.491
23,1557364621000,0.0,127.34784009999998,36.359222700000004,1.8199999,16.719
24,1557364625000,88.0,127.3477665,36.3592971,1.09,11.948
25,1557364632000,83.0,127.347851,36.359294299999995,3.1399999,9.99
26,1557364634000,82.0,127.3479419,36.3592789,3.97,9.588
192,1557364814000,61.0,127.36075349999999,36.3624909,3.85,3.717
193,1557364816000,61.0,127.36080990000002,36.3625167,2.8,3.408
280,1557364906000,62.0,127.3645426,36.3654452,3.11,4.595
281,1557364909000,62.0,127.36447040000002,36.365438899999994,3.04,4.481
282,1557364911000,63.0,127.3644132,36.3654249,3.07,4.257
283,1557364913000,63.0,127.36434109999999,36.365403799999996,3.28,4.082
284,1557364915000,63.0,127.36427749999999,36.3653865,2.72,4.07
285,1557364917000,64.0,127.36421370000001,36.365371100000004,2.56,3.885
286,1557364919000,64.0,127.3641578,36.3653589,1.9699999,3.875
287,1557364922000,64.0,127.3640913,36.3653396,1.63,3.5180000000000002
288,1557364926000,64.0,127.36402439999999,36.3653272,1.22,3.0
289,1557364929000,65.0,127.3639504,36.365351000000004,3.81,3.305
383,1557365027000,64.0,127.36055959999999,36.37015220000001,3.4299998,3.918
419,1557365066000,69.0,127.3594807,36.3717573,3.6799998,3.358
420,1557365068000,70.0,127.3594851,36.37181029999999,3.52,3.6319999999999997
421,1557365070000,70.0,127.35948459999999,36.371880299999994,3.57,4.255
422,1557365072000,70.0,127.3594827,36.37194,3.04,4.52
423,1557365074000,71.0,127.35947209999999,36.371987,1.39,4.08
425,1557365096000,74.0,127.3593908,36.371984600000005,1.78,4.525
434,1557369355000,82.0,127.3592929,36.3719256,0.65999997,12.793
435,1557369356000,80.0,127.35936000000001,36.3719356,0.57,13.092
436,1557369357000,78.0,127.3594233,36.3719424,0.26999998,12.433
437,1557369357875,75.0,127.3594946,36.37194829999999,0.29999998,10.997
438,1557369367959,81.3000030518,127.35944620000001,36.3720114,1.0699999,6.071000000000001
439,1557369370000,81.3000030518,127.35935079999999,36.3720476,1.26,7.267
